title,link,date_published,text,like_count,reply_parent_id,source,cleaned_text,tokenized_text,topic,topic_probability,sentiment,sentiment_confidence,negative_score,neutral_score,positive_score,emotion,emotion_confidence,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_neutral,emotion_sadness,emotion_surprise
iyak mga ddshit iyak,https://www.youtube.com/watch?v=LEpsOETVIYU&lc=Ugzz8ZoRrqf4y8RxjGl4AaABAg,2025-11-14 18:45:35,iyak mga ddshit iyak,0.0,,youtube,iyak ddshit iyak,"['iyak', 'ddshit', 'iyak']",0,1.0,negative,0.9999386072158813,0.9999386072158813,5.402341048466042e-05,7.377553629339673e-06,neutral,0.28184428811073303,0.08070546388626099,0.13199768960475922,0.0528390109539032,0.03719837963581085,0.28184428811073303,0.13372063636779785,0.2816944718360901
Pak u sa administrasyon nato ! Empyerno na kayo sigurado !,https://www.youtube.com/watch?v=LEpsOETVIYU&lc=UgzPrVl_strSM4mMlkd4AaABAg,2025-11-14 10:44:35,Pak u sa administrasyon nato ! Empyerno na kayo sigurado !,0.0,,youtube,pak u administrasyon nato empyerno sigurado,"['pak', 'u', 'administrasyon', 'nato', 'empyerno', 'sigurado']",2,0.11708624021299549,positive,0.997831404209137,9.920859156409279e-05,0.0020693920087069273,0.997831404209137,neutral,0.6273211240768433,0.07444407790899277,0.042138081043958664,0.08209652453660965,0.036343563348054886,0.6273211240768433,0.06722644716501236,0.07043012231588364
"wala din silbi ang ICI na yan pera pera lang, dapat taongbayan ang inspector sa kanilang nasasakopang project",https://www.youtube.com/watch?v=LEpsOETVIYU&lc=Ugw88EMH4xbcsZOfdK54AaABAg,2025-11-14 08:28:14,"wala din silbi ang ICI na yan pera pera lang, dapat taongbayan ang inspector sa kanilang nasasakopang project",0.0,,youtube,silbi ici pera pera taongbayan inspector kanilang nasasakopang project,"['silbi', 'ici', 'pera', 'pera', 'taongbayan', 'inspector', 'kanilang', 'nasasakopang', 'project']",6,1.0,neutral,0.9999263286590576,3.800438571488485e-05,0.9999263286590576,3.567714156815782e-05,neutral,0.8708769083023071,0.019952576607465744,0.005678543355315924,0.012966317124664783,0.014769158326089382,0.8708769083023071,0.01322327833622694,0.06253324449062347
iyak ddshit iyak,https://www.youtube.com/watch?v=LEpsOETVIYU&lc=Ugw88EMH4xbcsZOfdK54AaABAg.APU_WFuDqbOAPVgNTSeUG9,2025-11-14 18:47:26,iyak ddshit iyak,0.0,Ugw88EMH4xbcsZOfdK54AaABAg,youtube,iyak ddshit iyak,"['iyak', 'ddshit', 'iyak']",0,1.0,negative,0.9999386072158813,0.9999386072158813,5.402341048466042e-05,7.377553629339673e-06,neutral,0.28184428811073303,0.08070546388626099,0.13199768960475922,0.0528390109539032,0.03719837963581085,0.28184428811073303,0.13372063636779785,0.2816944718360901
iyak ddshit iyak,https://www.youtube.com/watch?v=LEpsOETVIYU&lc=Ugy-H-coH6zBRguo2up4AaABAg.APUW4FPDDhxAPVgPwathAH,2025-11-14 18:47:46,iyak ddshit iyak,0.0,Ugy-H-coH6zBRguo2up4AaABAg,youtube,iyak ddshit iyak,"['iyak', 'ddshit', 'iyak']",0,1.0,negative,0.9999386072158813,0.9999386072158813,5.402341048466042e-05,7.377553629339673e-06,neutral,0.28184428811073303,0.08070546388626099,0.13199768960475922,0.0528390109539032,0.03719837963581085,0.28184428811073303,0.13372063636779785,0.2816944718360901
Lotong ilocos bagong,https://www.youtube.com/watch?v=LEpsOETVIYU&lc=Ugz5Q5ozxLG_kLcEopd4AaABAg,2025-11-14 07:46:08,Lotong ilocos bagong,0.0,,youtube,lotong ilocos bagong,"['lotong', 'ilocos', 'bagong']",-1,0.35545820014682655,positive,0.9713574647903442,0.0006713797338306904,0.02797122485935688,0.9713574647903442,neutral,0.7949305772781372,0.013933898881077766,0.004935567732900381,0.0033841042313724756,0.07937733829021454,0.7949305772781372,0.027758963406085968,0.07567965984344482
iyak ddshit iyak,https://www.youtube.com/watch?v=LEpsOETVIYU&lc=Ugz5Q5ozxLG_kLcEopd4AaABAg.APUVgwqUFb6APVgOZnRLbo,2025-11-14 18:47:35,iyak ddshit iyak,0.0,Ugz5Q5ozxLG_kLcEopd4AaABAg,youtube,iyak ddshit iyak,"['iyak', 'ddshit', 'iyak']",0,1.0,negative,0.9999386072158813,0.9999386072158813,5.402341048466042e-05,7.377553629339673e-06,neutral,0.28184428811073303,0.08070546388626099,0.13199768960475922,0.0528390109539032,0.03719837963581085,0.28184428811073303,0.13372063636779785,0.2816944718360901
Lam na dis,https://www.youtube.com/watch?v=LEpsOETVIYU&lc=UgxYZRfEGBuJEEW30c54AaABAg,2025-11-14 07:45:49,Lam na dis,0.0,,youtube,lam dis,"['lam', 'dis']",0,0.5541824498515948,positive,0.9992563128471375,0.0007304442697204649,1.3272092473926023e-05,0.9992563128471375,neutral,0.8702143430709839,0.012707251124083996,0.010883360169827938,0.00438344944268465,0.023148631677031517,0.8702143430709839,0.03419093042612076,0.04447200149297714
iyak ddshit iyak,https://www.youtube.com/watch?v=LEpsOETVIYU&lc=UgxYZRfEGBuJEEW30c54AaABAg.APUVefripguAPVgPWvNAGu,2025-11-14 18:47:43,iyak ddshit iyak,0.0,UgxYZRfEGBuJEEW30c54AaABAg,youtube,iyak ddshit iyak,"['iyak', 'ddshit', 'iyak']",0,1.0,negative,0.9999386072158813,0.9999386072158813,5.402341048466042e-05,7.377553629339673e-06,neutral,0.28184428811073303,0.08070546388626099,0.13199768960475922,0.0528390109539032,0.03719837963581085,0.28184428811073303,0.13372063636779785,0.2816944718360901
Wala sila nakita pero may resibo ang taongbayan😅😅,https://www.youtube.com/watch?v=LEpsOETVIYU&lc=Ugy3uXSHwAUU-u-RHE14AaABAg,2025-11-14 07:40:19,Wala sila nakita pero may resibo ang taongbayan😅😅,0.0,,youtube,nakita resibo taongbayan,"['nakita', 'resibo', 'taongbayan']",0,0.48532484078335036,positive,0.9991804957389832,0.0007044464000500739,0.00011502865527290851,0.9991804957389832,neutral,0.7223840951919556,0.006319521460682154,0.0025505125522613525,0.008641530759632587,0.05160669609904289,0.7223840951919556,0.054472003132104874,0.15402568876743317
multo nga eh cno ba sa kanila ang nakita ng multo?....😁,https://www.youtube.com/watch?v=LEpsOETVIYU&lc=UgxdDGfmwrVUBN0ts3R4AaABAg,2025-11-14 07:25:33,multo nga eh cno ba sa kanila ang nakita ng multo?....😁,0.0,,youtube,multo cno nakita multo,"['multo', 'cno', 'nakita', 'multo']",-1,0.4362351305560723,positive,0.9999374151229858,3.247993299737573e-05,3.012807974300813e-05,0.9999374151229858,neutral,0.8462579250335693,0.012780209071934223,0.007744576781988144,0.016717148944735527,0.025983290746808052,0.8462579250335693,0.02932209149003029,0.061194732785224915
iyak ddshit iyak,https://www.youtube.com/watch?v=LEpsOETVIYU&lc=UgxdDGfmwrVUBN0ts3R4AaABAg.APUTL9iFUc9APVgQT7HvGi,2025-11-14 18:47:51,iyak ddshit iyak,0.0,UgxdDGfmwrVUBN0ts3R4AaABAg,youtube,iyak ddshit iyak,"['iyak', 'ddshit', 'iyak']",0,1.0,negative,0.9999386072158813,0.9999386072158813,5.402341048466042e-05,7.377553629339673e-06,neutral,0.28184428811073303,0.08070546388626099,0.13199768960475922,0.0528390109539032,0.03719837963581085,0.28184428811073303,0.13372063636779785,0.2816944718360901
tama c Mang Kanor weak president ang Bobo,https://www.youtube.com/watch?v=-df-UuhNLHw&lc=UgywoWydpq0k7gnE_nB4AaABAg,2025-11-13 19:39:58,tama c Mang Kanor weak president ang Bobo,0.0,,youtube,tama c mang kanor weak president bobo,"['tama', 'c', 'mang', 'kanor', 'weak', 'president', 'bobo']",3,1.0,negative,0.9999604225158691,0.9999604225158691,2.685567415028345e-05,1.2729628906527068e-05,sadness,0.5415982007980347,0.034465983510017395,0.013574608601629734,0.022811798378825188,0.04734081029891968,0.2854776680469513,0.5415982007980347,0.05473093315958977
Hahahhab and yet napadala nya sa The haugue ang poon nyo ..,https://www.youtube.com/watch?v=-df-UuhNLHw&lc=UgywoWydpq0k7gnE_nB4AaABAg.APTCaMZ3S-0APTHuRh9o2l,2025-11-13 20:26:24,Hahahhab and yet napadala nya sa The haugue ang poon nyo ..,0.0,UgywoWydpq0k7gnE_nB4AaABAg,youtube,hahahhab yet napadala haugue poon,"['hahahhab', 'yet', 'napadala', 'haugue', 'poon']",0,0.4829880308062914,positive,0.9997379183769226,7.90611156844534e-05,0.00018303435354027897,0.9997379183769226,neutral,0.5601333379745483,0.012631800957024097,0.005024137441068888,0.003413825761526823,0.27260372042655945,0.5601333379745483,0.03854022175073624,0.10765296965837479
Makulong nadapat ang tagal,https://www.youtube.com/watch?v=-df-UuhNLHw&lc=Ugycb1s5wrpdABsaFCx4AaABAg,2025-11-13 18:33:06,Makulong nadapat ang tagal,0.0,,youtube,makulong nadapat tagal,"['makulong', 'nadapat', 'tagal']",0,0.39739285791257156,negative,0.9999368190765381,0.9999368190765381,2.061212398984935e-05,4.253392035025172e-05,neutral,0.6958912014961243,0.023013953119516373,0.010082792490720749,0.016265692189335823,0.026404500007629395,0.6958912014961243,0.07129053771495819,0.15705125033855438
